GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ejercicio-logica-I,es.ies.puerto,PokemonBattle,50,59,2,8,16,20,5,7,3,4
ejercicio-logica-I,es.ies.puerto,Exercise01,32,0,0,0,10,0,2,0,2,0
